Account Number,Investment Name,Symbol,Shares,Share Price,Total Value,
24003142,VANGUARD TARGET RETIREMENT 2050 INVESTOR CL,VFIFX,612.4,66.59,40779.72,
24003142,APPLE INC,AAPL,80,231.40,18512.00,
24003142,MICROSOFT CORP,MSFT,21,497.20,10441.20,
24003142,COSTCO WHOLESALE CORP,COST,4,918.30,3673.20,
24003142,VANGUARD FEDERAL MONEY MARKET INVESTOR CL,VMFXX,1204.11,1.00,1204.11,
24008827,VANGUARD TARGET RETIREMENT 2050 INVESTOR CL,VFIFX,588.7,66.59,39201.53,
24008827,APPLE INC,AAPL,42,231.40,9718.80,
24008827,MICROSOFT CORP,MSFT,8,497.20,3977.60,
24005510,VANGUARD TARGET RETIREMENT 2050 INVESTOR CL,VFIFX,771.902,66.59,51400.95,
24000417,VANGUARD CASH PLUS,null,9150,1.00,9150.00,


Account Number,Trade Date,Settlement Date,Transaction Type,Transaction Description,Investment Name,Symbol,Shares,Share Price,Principal Amount,Commissions and Fees,Net Amount,Accrued Interest,Account Type,
24003142,2026-08-05,2026-08-06,Buy,Buy,VANGUARD TARGET RETIREMENT 2050 INVESTOR CL,VFIFX,18.02,66.59,-1199.95,0.00,-1199.95,0.00,CASH,
24003142,2026-07-06,2026-07-07,Buy,Buy,VANGUARD TARGET RETIREMENT 2050 INVESTOR CL,VFIFX,15.15,66.59,-1008.84,0.00,-1008.84,0.00,CASH,
24008827,2026-06-03,2026-06-04,Buy,Buy,VANGUARD TARGET RETIREMENT 2050 INVESTOR CL,VFIFX,22.53,66.59,-1500.27,0.00,-1500.27,0.00,CASH,
