Account Statement - (@Casey-Morgan-12) ,,,,,,,,,,,,,,,,,,,,,
Account Activity,,,,,,,,,,,,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (tip),Amount (tax),Amount (fee),Tax Rate,Tax Exempt,Funding Source,Destination,Beginning Balance,Ending Balance,Statement Period Venmo Fees,Terminal Location,Year to Date Venmo Fees,Disclaimer
,,,,,,,,,,,,,,,,$80.56,,,,,
,4153590063799871157,2024-01-07T21:29:11,Payment,Complete,Pizza night,Priya Natarajan,Casey Morgan,+ $34.74,,0,,0,,Venmo balance,,,,,Venmo,,
,4031038269466360479,2024-01-11T16:18:26,Payment,Complete,Ramen,Casey Morgan,Alex Carver,- $27.54,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4764481365903637533,2024-02-26T08:54:24,Charge,Complete,Movie,Jo Park,Casey Morgan,- $27.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4206308567130406610,2024-03-11T18:37:16,Charge,Complete,Movie,Jo Park,Casey Morgan,- $18.50,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4501289561516148036,2024-03-16T16:13:22,Payment,Complete,cabin split,Casey Morgan,Alex Carver,- $144.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4875442258978678257,2024-03-27T10:10:00,Charge,Complete,Uber home,Alex Carver,Casey Morgan,- $45.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4717203081343642848,2024-04-05T20:10:28,Charge,Complete,Bowling,Dana Whitfield,Casey Morgan,- $20.83,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4151207896629529017,2024-04-06T11:47:06,Charge,Complete,Movie,Jo Park,Casey Morgan,- $23.50,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4122489002024196480,2024-05-01T11:14:43,Charge,Complete,Matinee,Jo Park,Casey Morgan,- $23.50,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4171282315256747694,2024-05-10T10:34:31,Payment,Complete,Pizza night,Casey Morgan,Dana Whitfield,- $26.08,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4755113219975764333,2024-06-10T16:04:02,Charge,Complete,Tickets,Jo Park,Casey Morgan,- $27.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4489963347797402365,2024-07-10T19:15:44,Charge,Complete,Groceries for the party,Dana Whitfield,Casey Morgan,- $41.43,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4257083475934728915,2024-07-20T13:51:20,Charge,Complete,Movie,Jo Park,Casey Morgan,- $23.50,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4269730164219330636,2024-07-31T22:52:09,Payment,Complete,Coffee,Casey Morgan,Dana Whitfield,- $39.96,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4021504158850060271,2024-08-03T21:36:04,Charge,Complete,Dinner,Priya Natarajan,Casey Morgan,- $16.06,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4003745780140336846,2024-08-09T21:28:30,Charge,Complete,IMAX,Jo Park,Casey Morgan,- $18.50,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4644936268191676123,2024-08-18T11:42:28,Payment,Complete,fruit,Casey Morgan,Lakeview Fruit Cart,- $7.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4351303037845629712,2024-08-24T14:18:31,Payment,Complete,camping share,Casey Morgan,Alex Carver,- $144.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4445956687150910135,2024-09-11T08:21:44,Payment,Complete,fruit,Casey Morgan,Lakeview Fruit Cart,- $7.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4224789895105905023,2024-09-29T17:30:11,Charge,Complete,IMAX,Jo Park,Casey Morgan,- $18.50,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4118282825386110943,2024-10-09T19:58:13,Charge,Complete,Coffee,Priya Natarajan,Casey Morgan,- $35.61,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4456316967719541019,2024-10-12T13:34:04,Charge,Complete,Tickets,Jo Park,Casey Morgan,- $27.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4877419714287591655,2024-10-15T09:55:27,Payment,Complete,fruit,Casey Morgan,Lakeview Fruit Cart,- $6.00,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4243137738731174886,2024-11-01T13:50:30,Charge,Complete,Foodsies,Sam Iyer,Casey Morgan,- $35.30,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4280140828938769663,2024-12-01T18:48:44,Payment,Complete,Dinner,Priya Natarajan,Casey Morgan,+ $19.55,,0,,0,,Venmo balance,,,,,Venmo,,
,4861696577788573536,2024-12-18T12:07:11,Charge,Complete,Movie,Jo Park,Casey Morgan,- $18.50,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,4113356983823262140,2024-12-27T10:17:41,Payment,Complete,fruit,Casey Morgan,Lakeview Fruit Cart,- $9.50,,0,,0,,Lakeshore Credit Union Checking,,,,,Venmo,,
,,,,,,,,,,,,,,,,,$0.00,$0.00,,$0.00,"In case of errors or questions about your electronic transfers, see the Cardholder Agreement (https://venmo.com/legal/cardholder-agreement)."
